key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGNOR4TWINE_00598_KJARTAN_000_000,……商人也就算了，你这个看起来像旅行者的人，<hex:02100103>来络尾聚落有什么事吗？
1,TEXT_REGNOR4TWINE_00598_KJARTAN_000_010,天空的光芒被驱散了，夜晚的黑暗也回来了，<hex:02100103>可是并不代表这个聚落的环境发生了什么改变……<hex:02100103>好了旅行者，你有什么事情吗？
2,TEXT_REGNOR4TWINE_00598_KJARTAN_000_020,没想到天空再次充满了光芒……<hex:02100103>就仿佛是在嘲笑这个聚落的情况啊。<hex:02100103>好了旅行者，你有什么事情吗？
3,TEXT_REGNOR4TWINE_00598_KJARTAN_000_030,夜晚的黑暗来临，光芒又回来，又一次夜晚的黑暗降临……<hex:02100103>就仿佛重复着发展与衰退的这个聚落一样啊。<hex:02100103>好了旅行者，你有什么事情吗？
4,TEXT_REGNOR4TWINE_00598_Q1_000_000,想了解什么？
5,TEXT_REGNOR4TWINE_00598_A1_000_001,你是做什么的？
6,TEXT_REGNOR4TWINE_00598_A1_000_002,这里是什么地方？
7,TEXT_REGNOR4TWINE_00598_A1_000_003,取消
8,TEXT_REGNOR4TWINE_00598_KJARTAN_000_100,我是个矿山劳动者。<hex:02100103>对你这个旅行者来说采矿工这个名字应该听起来比较耳熟吧。
9,TEXT_REGNOR4TWINE_00598_KJARTAN_000_101,不管怎么称呼，反正意思都是一样的。<hex:02100103>不管环境怎么变，<hex:02100103>我只是负责在这附近的矿山里面采掘矿石维持生活的人。
10,TEXT_REGNOR4TWINE_00598_KJARTAN_000_200,这里是络尾聚落。<hex:02100103>隆索族和猫秘族尾巴缠络在一起合力发展起来的矿业聚落。
11,TEXT_REGNOR4TWINE_00598_KJARTAN_000_201,不过这也是很久以前的事情了。<hex:02100103>现在矿石的需求减少，猫秘族又离开了，<hex:02100103>这个聚落完全失去了活力。
12,TEXT_REGNOR4TWINE_00598_KJARTAN_000_202,现在只能靠着以隆索族为中心的矿工，<hex:02100103>一下一下地进行人工挖掘……<hex:02100103>这里已经挖不到你这种旅行者想要的东西了。
13,TEXT_REGNOR4TWINE_00598_TALK_ACTOR,
