key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_GAIUSD301_01313_SEQ_00,沙之家的于里昂热想要继续调查巴哈姆特大迷宫。
1,TEXT_GAIUSD301_01313_SEQ_01,前情回顾：<hex:02100103>发现“新蛮神”的征兆，冒险者和阿莉塞潜入了位于帝国西方堡地下的陨石痕迹。在深处发现的是身负重伤却依然处于再生中的古代蛮神巴哈姆特。另外，还看到了在5年前的那场战役中，本应与巴哈姆特同归于尽的路易索瓦——阿莉塞的祖父。阿莉塞决定要阻止蛮神巴哈姆特复活，救出路易索瓦……<hex:02100103>　　　　　　　　　　　　*　*　*<hex:02100103>根据于里昂热等人的推论，如果能让大迷宫深处的拘束舰停止运作，那么就有可能消灭蛮神巴哈姆特。为了攻入黑衣森林的卫月碎片，前往北部林区的秋瓜浮村，和阿莉塞的部下——安娜艾尔副牙尉谈谈。
2,TEXT_GAIUSD301_01313_SEQ_02,和安娜艾尔进行了交谈。前往北部林区的桤木泉，向目光敏锐的二等牙兵询问详情。
3,TEXT_GAIUSD301_01313_SEQ_03,据目光敏锐的二等牙兵说，已经开拓出了一条通往卫月碎片前的道路。回到秋瓜浮村，在安娜艾尔那里和阿莉塞汇合。
4,TEXT_GAIUSD301_01313_SEQ_04,在向安娜艾尔报告时，阿尔菲诺出现了。阿尔菲诺希望阿莉塞能够找到自己的“战斗的意义”，并委托冒险者照顾阿莉塞。做好万全准备后，和同伴们一起挑战迷宫。<hex:02100103><hex:02100103>※可以通过任务搜索器参加。
5,TEXT_GAIUSD301_01313_SEQ_05,空
6,TEXT_GAIUSD301_01313_SEQ_06,空
7,TEXT_GAIUSD301_01313_SEQ_07,空
8,TEXT_GAIUSD301_01313_SEQ_08,空
9,TEXT_GAIUSD301_01313_SEQ_09,空
10,TEXT_GAIUSD301_01313_SEQ_10,空
11,TEXT_GAIUSD301_01313_SEQ_11,空
12,TEXT_GAIUSD301_01313_SEQ_12,空
13,TEXT_GAIUSD301_01313_SEQ_13,空
14,TEXT_GAIUSD301_01313_SEQ_14,空
15,TEXT_GAIUSD301_01313_SEQ_15,空
16,TEXT_GAIUSD301_01313_SEQ_16,空
17,TEXT_GAIUSD301_01313_SEQ_17,空
18,TEXT_GAIUSD301_01313_SEQ_18,空
19,TEXT_GAIUSD301_01313_SEQ_19,空
20,TEXT_GAIUSD301_01313_SEQ_20,空
21,TEXT_GAIUSD301_01313_SEQ_21,空
22,TEXT_GAIUSD301_01313_SEQ_22,空
23,TEXT_GAIUSD301_01313_SEQ_23,空
24,TEXT_GAIUSD301_01313_TODO_00,和秋瓜浮村的安娜艾尔对话
25,TEXT_GAIUSD301_01313_TODO_01,和目光敏锐的二等牙兵对话
26,TEXT_GAIUSD301_01313_TODO_02,和安娜艾尔对话
27,TEXT_GAIUSD301_01313_TODO_03,空
28,TEXT_GAIUSD301_01313_TODO_04,空
29,TEXT_GAIUSD301_01313_TODO_05,空
30,TEXT_GAIUSD301_01313_TODO_06,空
31,TEXT_GAIUSD301_01313_TODO_07,空
32,TEXT_GAIUSD301_01313_TODO_08,空
33,TEXT_GAIUSD301_01313_TODO_09,空
34,TEXT_GAIUSD301_01313_TODO_10,空
35,TEXT_GAIUSD301_01313_TODO_11,空
36,TEXT_GAIUSD301_01313_TODO_12,空
37,TEXT_GAIUSD301_01313_TODO_13,空
38,TEXT_GAIUSD301_01313_TODO_14,空
39,TEXT_GAIUSD301_01313_TODO_15,空
40,TEXT_GAIUSD301_01313_TODO_16,空
41,TEXT_GAIUSD301_01313_TODO_17,空
42,TEXT_GAIUSD301_01313_TODO_18,空
43,TEXT_GAIUSD301_01313_TODO_19,空
44,TEXT_GAIUSD301_01313_TODO_20,空
45,TEXT_GAIUSD301_01313_TODO_21,空
46,TEXT_GAIUSD301_01313_TODO_22,空
47,TEXT_GAIUSD301_01313_TODO_23,空
48,TEXT_GAIUSD301_01313_URIANGER_000_000,延伸在加尔提诺平原地下的巨大迷宫……<hex:02100103>从这古代蛮神的沉睡之地，揭开了新的真相。<hex:02100103>这都是你的功劳……
49,TEXT_GAIUSD301_01313_URIANGER_000_001,但是，真相又牵引出新的谜题，<hex:02100103>将探求者引向深渊……<hex:02100103>此时正是挑战陨石痕迹的时机……
50,TEXT_GAIUSD301_01313_URIANGER_000_002,阿莉塞小姐马上会过来。<hex:02100103>让我们再次展开探寻世界真理的探索之旅吧。
51,TEXT_GAIUSD301_01313_ALISAIE_000_003,抱歉，让你们久等了。
52,TEXT_GAIUSD301_01313_ALISAIE_000_004,……<hex:022903EB0203>。<hex:02100103>感谢你能继续协助我们。
53,TEXT_GAIUSD301_01313_ALISAIE_000_005,那我们直接进入主题，<hex:02100103>讨论一下有关“陨石痕迹”的……巴哈姆特大迷宫，<hex:02100103>目前已经了解到的真相，和这次的作战。
54,TEXT_GAIUSD301_01313_ALISAIE_000_006,我们在之前的调查中，为了探寻新蛮神的反应，<hex:02100103>潜入了陨石痕迹，也就是卫月坠落的痕迹。
55,TEXT_GAIUSD301_01313_ALISAIE_000_007,那是位于地下的巨大迷宫……<hex:02100103>在迷宫深处，我们发现了负伤的蛮神巴哈姆特。
56,TEXT_GAIUSD301_01313_ALISAIE_000_008,……不仅如此。<hex:02100103>我们还在那里看到了5年前本应与巴哈姆特同归于尽的……<hex:02100103>路易索瓦祖父的身影。
57,TEXT_GAIUSD301_01313_URIANGER_000_009,卫月是古代亚拉戈文明的遗产……<hex:02100103>因此，我向学术研究机构“圣寇伊纳克财团”的<hex:02100103>拉姆布鲁斯同志索取了一些情报。
58,TEXT_GAIUSD301_01313_URIANGER_000_010,据他所说……卫月的建造是为了收集“太阳之力”，<hex:02100103>并将这力量注入水晶塔。
59,TEXT_GAIUSD301_01313_URIANGER_000_011,据推测，因为蛮神巴哈姆特拥有强大的力量，<hex:02100103>甚至可以轻易操纵传说中的烈焰“百万核爆”……<hex:02100103>因此被作为核心利用，封印在卫月内部……
60,TEXT_GAIUSD301_01313_ALISAIE_000_012,你还记得在最深处看到的情景吗？<hex:02100103>……看似处于再生中的蛮神巴哈姆特，<hex:02100103>被古代亚拉戈文明的巨大装置所围绕。
61,TEXT_GAIUSD301_01313_ALISAIE_000_013,依照圣寇伊纳克财团提供的情报，<hex:02100103>我们也称这个装置为诸神黄昏级“拘束舰”。
62,TEXT_GAIUSD301_01313_ALISAIE_000_014,我们推测拘束舰的作用有2个。<hex:02100103>……其中一个，<hex:02100103>是困住作为聚集“太阳之力”核心的蛮神巴哈姆特。
63,TEXT_GAIUSD301_01313_ALISAIE_000_015,而另一个……<hex:02100103>则是维持作为核心的巴哈姆特不被消灭。<hex:02100103>也就是说，让它求生不得，求死不能。
64,TEXT_GAIUSD301_01313_URIANGER_000_016,蛮神巴哈姆特是在数千年前被封印的……<hex:02100103>而它至今仍能显现，那说明……
