key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_000_000,欢迎来到轻羽斗场。<hex:02100103>你有什么想要问我的吗？
1,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_Q1_000_000,想了解什么？
2,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_A1_000_001,你是做什么的？
3,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_A1_000_002,这里是什么地方？
4,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_A1_000_003,取消
5,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_000_010,我是轻羽斗场的接待员……<hex:02100103>话虽如此，但平时来这里的人都是些常客，<hex:02100103>所以也不用怎么接待。
6,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_000_011,呵呵呵，我自己倒是很乐在其中啦，<hex:02100103>所以比起说是接待员，倒不如说是观众更贴切一些。
7,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_000_020,这里是泽梅尔家管理运营的轻羽斗场。
8,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_000_021,伊修加德的“陆行鸟战术”很发达。<hex:02100103>这个地方就是为了磨练这种战术的。
9,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_000_022,这里原本也是军用陆行鸟的实战训练设施，<hex:02100103>在没有比赛的时候，<hex:02100103>神殿骑士团和名门的骑兵团会在这里实施训练和模拟战。
10,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_000,（未使用/预计删除）
11,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_SCENE00000Q,（未使用/预计删除）
12,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_SCENE00000A1,（未使用/预计删除）
13,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_SCENE00000A2,（未使用/预计删除）
14,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_SCENE00000A3,（未使用/预计删除）
15,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_010,（未使用/预计删除）
16,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_011,（未使用/预计删除）
17,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_020,（未使用/预计删除）
18,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_021,（未使用/预计删除）
19,TEXT_REGROC2LIGHTFEATHERPROVINGGROUNDS_00280_ALINAURE_022,（未使用/预计删除）
