key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_COMLIM011_01131_SEQ_00,黑涡团的尔·阿夏想要交给冒险者一项提升大国防联军内部评价的任务。
1,TEXT_COMLIM011_01131_SEQ_01,尔·阿夏介绍了新的任务。前往伊修加德库尔札斯中央高地西南区域的黄金谷，和威廉姆斯谈谈。
2,TEXT_COMLIM011_01131_SEQ_02,消灭黄金谷的魔物。另外要注意洞窟内的毒沼……<hex:02100103><hex:02100103>※可以通过任务搜索器参加。
3,TEXT_COMLIM011_01131_SEQ_03,向利姆萨·罗敏萨黑涡军令部的尔·阿夏报告。
4,TEXT_COMLIM011_01131_SEQ_04,和尔·阿夏进行了交谈。冒险者在大国防联军内部的评价有所提升。
5,TEXT_COMLIM011_01131_SEQ_05,空
6,TEXT_COMLIM011_01131_SEQ_06,空
7,TEXT_COMLIM011_01131_SEQ_07,空
8,TEXT_COMLIM011_01131_SEQ_08,空
9,TEXT_COMLIM011_01131_SEQ_09,空
10,TEXT_COMLIM011_01131_SEQ_10,空
11,TEXT_COMLIM011_01131_SEQ_11,空
12,TEXT_COMLIM011_01131_SEQ_12,空
13,TEXT_COMLIM011_01131_SEQ_13,空
14,TEXT_COMLIM011_01131_SEQ_14,空
15,TEXT_COMLIM011_01131_SEQ_15,空
16,TEXT_COMLIM011_01131_SEQ_16,空
17,TEXT_COMLIM011_01131_SEQ_17,空
18,TEXT_COMLIM011_01131_SEQ_18,空
19,TEXT_COMLIM011_01131_SEQ_19,空
20,TEXT_COMLIM011_01131_SEQ_20,空
21,TEXT_COMLIM011_01131_SEQ_21,空
22,TEXT_COMLIM011_01131_SEQ_22,空
23,TEXT_COMLIM011_01131_SEQ_23,空
24,TEXT_COMLIM011_01131_TODO_00,和黄金谷的威廉姆斯对话
25,TEXT_COMLIM011_01131_TODO_01,突破黄金谷
26,TEXT_COMLIM011_01131_TODO_02,向利姆萨·罗敏萨黑涡军令部的尔·阿夏报告
27,TEXT_COMLIM011_01131_TODO_03,空
28,TEXT_COMLIM011_01131_TODO_04,空
29,TEXT_COMLIM011_01131_TODO_05,空
30,TEXT_COMLIM011_01131_TODO_06,空
31,TEXT_COMLIM011_01131_TODO_07,空
32,TEXT_COMLIM011_01131_TODO_08,空
33,TEXT_COMLIM011_01131_TODO_09,空
34,TEXT_COMLIM011_01131_TODO_10,空
35,TEXT_COMLIM011_01131_TODO_11,空
36,TEXT_COMLIM011_01131_TODO_12,空
37,TEXT_COMLIM011_01131_TODO_13,空
38,TEXT_COMLIM011_01131_TODO_14,空
39,TEXT_COMLIM011_01131_TODO_15,空
40,TEXT_COMLIM011_01131_TODO_16,空
41,TEXT_COMLIM011_01131_TODO_17,空
42,TEXT_COMLIM011_01131_TODO_18,空
43,TEXT_COMLIM011_01131_TODO_19,空
44,TEXT_COMLIM011_01131_TODO_20,空
45,TEXT_COMLIM011_01131_TODO_21,空
46,TEXT_COMLIM011_01131_TODO_22,空
47,TEXT_COMLIM011_01131_TODO_23,空
48,TEXT_COMLIM011_01131_RASHAHT_000_000,<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03>！<hex:02100103>你的表现还是那么出色！
49,TEXT_COMLIM011_01131_RASHAHT_000_001,趁着你现在势如破竹的状态，<hex:02100103>再给你一个建立战功的机会吧。
50,TEXT_COMLIM011_01131_RASHAHT_000_002,作为输出军用陆行鸟的交换条件，<hex:02100103>我们接受了伊修加德消灭魔物的请求。<hex:02100103>详细情况就去询问黄金谷的骑兵吧。
51,TEXT_COMLIM011_01131_WILLIELMUS_000_010,你是黑涡团派来的吧？<hex:02100103>虽然借他国之力来驱除魔物这种事让人难以接受……<hex:02100103>不过，为了周边区域的安全着想，请务必协助我们。
52,TEXT_COMLIM011_01131_WILLIELMUS_000_011,黄金谷潜伏着残暴的魔物。<hex:02100103>而且洞窟内属于危险地带，<hex:02100103>到处都是闪烁着金色光辉的毒沼。
53,TEXT_COMLIM011_01131_WILLIELMUS_000_012,请你召集有能之士，驱除魔物，<hex:02100103>让这片大地重新回归和平与安稳。
54,TEXT_COMLIM011_01131_RASHAHT_000_020,我已经接到报告了哦，<hex:022903EB0203><hex:020831E1E93501FF29><hex:020825E3E93580FF1D><hex:022819FF14>GCRankLimsaMaleText<hex:E9350103><hex:FF01><hex:03><hex:FF01><hex:03>！<hex:02100103>你真是太了不起了！
55,TEXT_COMLIM011_01131_RASHAHT_000_021,我身为冒险者部队“特殊陆战队”的队长，<hex:02100103>为能有你这样的勇士当部下，而感到骄傲。<hex:02100103>当然，我已经将你的功绩报告到了军令部！
56,TEXT_COMLIM011_01131_RASHAHT_000_022,等时机成熟的时候，你就可以获得晋升，<hex:02100103>也算是对你的付出做出的回报。<hex:02100103>直至大海吞噬一切！努力吧！
