key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_GAIUSA405_00747_SEQ_00,沙之家的敏菲利亚，想要委托冒险者展开调查。
1,TEXT_GAIUSA405_00747_SEQ_01,恒辉队似乎传来了发现面具男的情报。前往乌尔达哈的恒辉作战总部，和斯威夫特对话。
2,TEXT_GAIUSA405_00747_SEQ_02,目击者似乎是驻守在跨天桥的铜刃团佣兵。和东萨纳兰跨天桥的希希巴鲁对话。
3,TEXT_GAIUSA405_00747_SEQ_03,和希希巴鲁进行了交谈。他虽然听说过面具男的传闻，但是……
4,TEXT_GAIUSA405_00747_SEQ_04,无
5,TEXT_GAIUSA405_00747_SEQ_05,无
6,TEXT_GAIUSA405_00747_SEQ_06,无
7,TEXT_GAIUSA405_00747_SEQ_07,无
8,TEXT_GAIUSA405_00747_SEQ_08,无
9,TEXT_GAIUSA405_00747_SEQ_09,无
10,TEXT_GAIUSA405_00747_SEQ_10,无
11,TEXT_GAIUSA405_00747_SEQ_11,无
12,TEXT_GAIUSA405_00747_SEQ_12,无
13,TEXT_GAIUSA405_00747_SEQ_13,无
14,TEXT_GAIUSA405_00747_SEQ_14,无
15,TEXT_GAIUSA405_00747_SEQ_15,无
16,TEXT_GAIUSA405_00747_SEQ_16,无
17,TEXT_GAIUSA405_00747_SEQ_17,无
18,TEXT_GAIUSA405_00747_SEQ_18,无
19,TEXT_GAIUSA405_00747_SEQ_19,无
20,TEXT_GAIUSA405_00747_SEQ_20,无
21,TEXT_GAIUSA405_00747_SEQ_21,无
22,TEXT_GAIUSA405_00747_SEQ_22,无
23,TEXT_GAIUSA405_00747_SEQ_23,无
24,TEXT_GAIUSA405_00747_TODO_00,和恒辉作战总部的斯威夫特对话
25,TEXT_GAIUSA405_00747_TODO_01,和跨天桥的希希巴鲁对话
26,TEXT_GAIUSA405_00747_TODO_02,无
27,TEXT_GAIUSA405_00747_TODO_03,无
28,TEXT_GAIUSA405_00747_TODO_04,无
29,TEXT_GAIUSA405_00747_TODO_05,无
30,TEXT_GAIUSA405_00747_TODO_06,无
31,TEXT_GAIUSA405_00747_TODO_07,无
32,TEXT_GAIUSA405_00747_TODO_08,无
33,TEXT_GAIUSA405_00747_TODO_09,无
34,TEXT_GAIUSA405_00747_TODO_10,无
35,TEXT_GAIUSA405_00747_TODO_11,无
36,TEXT_GAIUSA405_00747_TODO_12,无
37,TEXT_GAIUSA405_00747_TODO_13,无
38,TEXT_GAIUSA405_00747_TODO_14,无
39,TEXT_GAIUSA405_00747_TODO_15,无
40,TEXT_GAIUSA405_00747_TODO_16,无
41,TEXT_GAIUSA405_00747_TODO_17,无
42,TEXT_GAIUSA405_00747_TODO_18,无
43,TEXT_GAIUSA405_00747_TODO_19,无
44,TEXT_GAIUSA405_00747_TODO_20,无
45,TEXT_GAIUSA405_00747_TODO_21,无
46,TEXT_GAIUSA405_00747_TODO_22,无
47,TEXT_GAIUSA405_00747_TODO_23,无
48,TEXT_GAIUSA405_00747_MINFILIA_000_000,接连麻烦你真是不好意思……<hex:02100103>在下一个委托到来之前，我有事想让你去调查一番。
49,TEXT_GAIUSA405_00747_MINFILIA_000_001,我想让你去收集拉哈布雷亚的情报，<hex:02100103>对，就是你在托托·拉克千狱遇见的那个面具男。
50,TEXT_GAIUSA405_00747_MINFILIA_000_002,关于无影族，我们所知甚少。<hex:02100103>唯一能确定的就是，无影族的出现会招致混沌与战乱。
51,TEXT_GAIUSA405_00747_MINFILIA_000_003,艾欧泽亚如今遇到的问题，<hex:02100103>说不好也与无影族有着某种关联。<hex:02100103>我们必须查清此事。
52,TEXT_GAIUSA405_00747_MINFILIA_000_004,在我们向各国的大国防联军请求协助后，<hex:02100103>从恒辉队传回了发现“面具男”的情报。<hex:02100103>首先请你前往恒辉作战总部，追查他的下落吧。
53,TEXT_GAIUSA405_00747_MINFILIA_000_005,我们对敌人一无所知。<hex:02100103>你一定要小心谨慎。
54,TEXT_GAIUSA405_00747_SWIFT_000_010,你是拂晓的人吧，我等你很久了。<hex:02100103>有人见到了之前提过的“面具男”。
55,TEXT_GAIUSA405_00747_SWIFT_000_011,驻守在跨天桥的铜刃团佣兵接到拂晓血盟的情报后，<hex:02100103>发现了一个相似打扮的人。
56,TEXT_GAIUSA405_00747_SWIFT_000_012,我们从佣兵口中得知的情报就是这些了。<hex:02100103>跨天桥那里是飞空艇着陆场，许多商人出入其中，<hex:02100103>你去调查一番的话，说不定会有更多收获的。
57,TEXT_GAIUSA405_00747_SWIFT_000_013,请你奔赴位于东萨纳兰的事发地，<hex:02100103>去拜访一下名为希希巴鲁的商人。<hex:02100103>那家伙急缺客户，肯定不会冷落你的。
58,TEXT_GAIUSA405_00747_HIHIBARU_000_020,欢迎来到跨天桥！<hex:02100103>看来您是一位冒险者，要休息一下吗？<hex:02100103>还是说有委托？莫非是讨伐蛮族……
59,TEXT_GAIUSA405_00747_HIHIBARU_000_021,哎呀，是要找人啊！<hex:02100103>咳，您要找面具男是吧？<hex:02100103>我好像听说过传闻……
60,TEXT_GAIUSA405_00747_HIHIBARU_000_022,没关系，就让我们慢慢调查吧。<hex:02100103>您说对吧？
