key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGLZ001_04967_SEQ_00,珠串万货街的洛皮利很高兴看到冒险者的到来。
1,TEXT_KINGLZ001_04967_SEQ_01,和洛皮利进行了交谈，得知他有事情想跟冒险者商量。为了了解详情，前往图莱尤拉戈尼特鲁珂宝滩的<hex:02280CFF05>EObj<hex:F61EBCE80103>等待。
2,TEXT_KINGLZ001_04967_SEQ_02,洛皮利等人正在筹划珠串万货街感恩大酬宾。为了前往遗产之地，和戈尼特鲁珂宝滩的休涅谈谈。
3,TEXT_KINGLZ001_04967_SEQ_03,和休涅进行了交谈，冒险者和他们一同出发前往了遗产之地。和边郊镇的多努哈努谈谈。
4,TEXT_KINGLZ001_04967_SEQ_04,和多努哈努进行了交谈。和边郊镇的多努哈努和休涅谈谈。
5,TEXT_KINGLZ001_04967_SEQ_05,多努哈努和休涅他们招揽客人的工作进展得很顺利。返回一趟图莱尤拉，和珠串万货街正在做准备的洛皮利谈谈。
6,TEXT_KINGLZ001_04967_SEQ_06,和洛皮利进行了交谈。和古鲁加加凯旋门附近正在接纳客人的帕梅卡谈谈。
7,TEXT_KINGLZ001_04967_SEQ_07,和帕梅卡等人进行了交谈。和鲜羽兵站的谢荣加谈谈。
8,TEXT_KINGLZ001_04967_SEQ_08,和谢荣加进行了交谈。和珠串万货街正在制作装饰的拉尔·索吉谈谈。
9,TEXT_KINGLZ001_04967_SEQ_09,和拉尔·索吉进行了交谈，冒险者同意帮忙布置装饰。将<hex:022811FF0A>EventItem<hex:F61E93140103>布置在珠串万货街的<hex:02280CFF05>EObj<hex:F61EBCE50103>。
10,TEXT_KINGLZ001_04967_SEQ_10,布置好了装饰。活动马上就要开始了，和珠串万货街的洛皮利谈谈。
11,TEXT_KINGLZ001_04967_SEQ_11,和洛皮利进行了交谈，见证了珠串万货街感恩大酬宾顺利举办。再次和珠串万货街的洛皮利谈谈。
12,TEXT_KINGLZ001_04967_SEQ_12,和洛皮利进行了交谈，他十分感谢冒险者的帮助。图莱尤拉的人们今后也一定会紧密地联系在一起吧！
13,TEXT_KINGLZ001_04967_SEQ_13,
14,TEXT_KINGLZ001_04967_SEQ_14,
15,TEXT_KINGLZ001_04967_SEQ_15,
16,TEXT_KINGLZ001_04967_SEQ_16,
17,TEXT_KINGLZ001_04967_SEQ_17,
18,TEXT_KINGLZ001_04967_SEQ_18,
19,TEXT_KINGLZ001_04967_SEQ_19,
20,TEXT_KINGLZ001_04967_SEQ_20,
21,TEXT_KINGLZ001_04967_SEQ_21,
22,TEXT_KINGLZ001_04967_SEQ_22,
23,TEXT_KINGLZ001_04967_SEQ_23,
24,TEXT_KINGLZ001_04967_TODO_00,在<hex:02280CFF05>EObj<hex:F61EBCE80103>等待
25,TEXT_KINGLZ001_04967_TODO_01,和休涅对话
26,TEXT_KINGLZ001_04967_TODO_02,和边郊镇的多努哈努对话
27,TEXT_KINGLZ001_04967_TODO_03,和多努哈努对话
28,TEXT_KINGLZ001_04967_TODO_04,和休涅对话
29,TEXT_KINGLZ001_04967_TODO_05,和图莱尤拉的洛皮利对话
30,TEXT_KINGLZ001_04967_TODO_06,和帕梅卡对话
31,TEXT_KINGLZ001_04967_TODO_07,和谢荣加对话
32,TEXT_KINGLZ001_04967_TODO_08,和拉尔·索吉对话
33,TEXT_KINGLZ001_04967_TODO_09,将<hex:022811FF0A>EventItem<hex:F61E93140103>布置在<hex:02280CFF05>EObj<hex:F61EBCE50103>
34,TEXT_KINGLZ001_04967_TODO_10,和洛皮利对话
35,TEXT_KINGLZ001_04967_TODO_11,再次和洛皮利对话
36,TEXT_KINGLZ001_04967_TODO_12,
37,TEXT_KINGLZ001_04967_TODO_13,
38,TEXT_KINGLZ001_04967_TODO_14,
39,TEXT_KINGLZ001_04967_TODO_15,
40,TEXT_KINGLZ001_04967_TODO_16,
41,TEXT_KINGLZ001_04967_TODO_17,
42,TEXT_KINGLZ001_04967_TODO_18,
43,TEXT_KINGLZ001_04967_TODO_19,
44,TEXT_KINGLZ001_04967_TODO_20,
45,TEXT_KINGLZ001_04967_TODO_21,
46,TEXT_KINGLZ001_04967_TODO_22,
47,TEXT_KINGLZ001_04967_TODO_23,
48,TEXT_KINGLZ001_04967_ROPLI_000_000,哟，<hex:022903EB0203>！<hex:02100103>感谢你为遇到困难的商店解决了问题。
49,TEXT_KINGLZ001_04967_ROPLI_000_001,多亏了你，我心中对万货街构想的计划终于可以实施了。
50,TEXT_KINGLZ001_04967_ROPLI_000_002,届时如果你方便的话，我想请你来帮帮忙。<hex:02100103>你能先听我讲讲具体的内容吗？
51,TEXT_KINGLZ001_04967_ROPLI_000_003,这里老有客人和工匠经过，有点喧闹，<hex:02100103>我们去戈尼特鲁珂宝滩那里聊聊吧，那里至少比较清静。<hex:02100103>你先过去，我随后就到。
52,TEXT_KINGLZ001_04967_ROPLI_000_010,
53,TEXT_KINGLZ001_04967_ROPLI_000_020,让你久等了，<hex:022903EB0203>。<hex:02100103>那我们就不多寒暄直接开始吧，<hex:02100103>毕竟人常说时间就是佩鲁嘛。
54,TEXT_KINGLZ001_04967_ROPLI_000_021,这个国家在短期内不是发生了很多的事情吗？<hex:02100103>本以为继位仪式顺利结束，新联王即位后就能风平浪静了，<hex:02100103>没想到亚斯拉尼荒野又遭到敌人入侵，就连前任联王也不幸陨落。
55,TEXT_KINGLZ001_04967_ROPLI_000_022,不过另一方面，我能感受到又有更多的缘分交织于此地，<hex:02100103>国民们变得更加团结，<hex:02100103>连尤卡巨人族都受继位仪式的影响，开始造访都城。
56,TEXT_KINGLZ001_04967_ROPLI_000_023,我还听说国家带头修好了铁路，大概就是多亏了这个，<hex:02100103>所以有越来越多的人从那个穹顶返回故乡。
57,TEXT_KINGLZ001_04967_ROPLI_000_024,而我呢，想举办一场大的贩卖会。<hex:02100103>我希望通过这场贩卖会，让这个国家形形色色的部族<hex:02100103>像珠串一样更加紧密地联系在一起，共同生活下去。
58,TEXT_KINGLZ001_04967_ROPLI_000_025,这个贩卖会将会邀请图拉尔大陆各地的店铺参加，<hex:02100103>而它的名字是——珠串万货街感恩大酬宾！
59,TEXT_KINGLZ001_04967_ROPLI_000_026,现在有一个名叫玛布露的旅行商人<hex:02100103>正在帮我和各地的商人们沟通，推进这个事情。
60,TEXT_KINGLZ001_04967_ROPLI_000_027,我最担心的是亚斯拉尼荒野那边居住在穹顶内的人们。<hex:02100103>我听说他们那边情况比较复杂，<hex:02100103>但我认为他们和我们一样是生活在图拉尔大陆的同胞。
61,TEXT_KINGLZ001_04967_ROPLI_000_028,所以我想趁着这个大酬宾贩卖会邀请他们过来，<hex:02100103>促进一下双方的文化交流。<hex:02100103>但问题是我不了解他们那边的情况，再加上贩卖会我也抽不开身。
62,TEXT_KINGLZ001_04967_ROPLI_000_029,而你是知道他们那边情况的，<hex:02100103>所以我想请你帮帮忙。
