key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_BANSAH307_01406_SEQ_00,诺布养育场的塞乌想委托冒险者打倒敌人。
1,TEXT_BANSAH307_01406_SEQ_01,塞乌委托冒险者去讨伐盘踞在劫掠来的商船上的海蛇之舌干部。登上海上的商船，打倒3名<hex:02280FFF09>BNpcName<hex:F209EB0103>，再讨伐被引出来的<hex:02280FFF09>BNpcName<hex:F20AB50103>。诺布养育场的海兽驯养人帕阿会为冒险者准备前往海上的商船的水龙蜥。
2,TEXT_BANSAH307_01406_SEQ_02,成功讨伐了<hex:02280FFF09>BNpcName<hex:F20AB50103>。向诺布养育场的塞乌报告。
3,TEXT_BANSAH307_01406_SEQ_03,塞乌对冒险者的表现很满意。人类和鱼人两个阵营都很蔑视海蛇之舌。他们总是使用卑劣的手段，塞乌也很厌恶他们。只要海蛇之舌还在为非作歹，就为讨伐他们出一份力。
4,TEXT_BANSAH307_01406_SEQ_04,空栏
5,TEXT_BANSAH307_01406_SEQ_05,空栏
6,TEXT_BANSAH307_01406_SEQ_06,空栏
7,TEXT_BANSAH307_01406_SEQ_07,空栏
8,TEXT_BANSAH307_01406_SEQ_08,空栏
9,TEXT_BANSAH307_01406_SEQ_09,空栏
10,TEXT_BANSAH307_01406_SEQ_10,空栏
11,TEXT_BANSAH307_01406_SEQ_11,空栏
12,TEXT_BANSAH307_01406_SEQ_12,空栏
13,TEXT_BANSAH307_01406_SEQ_13,空栏
14,TEXT_BANSAH307_01406_SEQ_14,空栏
15,TEXT_BANSAH307_01406_SEQ_15,空栏
16,TEXT_BANSAH307_01406_SEQ_16,空栏
17,TEXT_BANSAH307_01406_SEQ_17,空栏
18,TEXT_BANSAH307_01406_SEQ_18,空栏
19,TEXT_BANSAH307_01406_SEQ_19,空栏
20,TEXT_BANSAH307_01406_SEQ_20,空栏
21,TEXT_BANSAH307_01406_SEQ_21,空栏
22,TEXT_BANSAH307_01406_SEQ_22,空栏
23,TEXT_BANSAH307_01406_SEQ_23,
24,TEXT_BANSAH307_01406_TODO_00,在海上的商船打倒3名<hex:02280FFF09>BNpcName<hex:F209EB0103><hex:02100103>讨伐随之出现的<hex:02280FFF09>BNpcName<hex:F20AB50103>
25,TEXT_BANSAH307_01406_TODO_01,向塞乌报告
26,TEXT_BANSAH307_01406_TODO_02,空栏
27,TEXT_BANSAH307_01406_TODO_03,空栏
28,TEXT_BANSAH307_01406_TODO_04,空栏
29,TEXT_BANSAH307_01406_TODO_05,空栏
30,TEXT_BANSAH307_01406_TODO_06,空栏
31,TEXT_BANSAH307_01406_TODO_07,空栏
32,TEXT_BANSAH307_01406_TODO_08,空栏
33,TEXT_BANSAH307_01406_TODO_09,空栏
34,TEXT_BANSAH307_01406_TODO_10,空栏
35,TEXT_BANSAH307_01406_TODO_11,空栏
36,TEXT_BANSAH307_01406_TODO_12,空栏
37,TEXT_BANSAH307_01406_TODO_13,空栏
38,TEXT_BANSAH307_01406_TODO_14,空栏
39,TEXT_BANSAH307_01406_TODO_15,空栏
40,TEXT_BANSAH307_01406_TODO_16,空栏
41,TEXT_BANSAH307_01406_TODO_17,空栏
42,TEXT_BANSAH307_01406_TODO_18,空栏
43,TEXT_BANSAH307_01406_TODO_19,空栏
44,TEXT_BANSAH307_01406_TODO_20,空栏
45,TEXT_BANSAH307_01406_TODO_21,空栏
46,TEXT_BANSAH307_01406_TODO_22,空栏
47,TEXT_BANSAH307_01406_TODO_23,
48,TEXT_BANSAH307_01406_SEWW_000_000,呼嘶……为了削弱珊瑚尖枪的力量，<hex:02100103>也需要和那些受他们操纵的无鳍类，也就是海蛇之舌战斗。
49,TEXT_BANSAH307_01406_SEWW_000_001,海蛇之舌会在海上寻找猎物，<hex:02100103>我想请你登上他们的船，讨伐他们的干部。
50,TEXT_BANSAH307_01406_SEWW_000_002,海蛇之舌那些家伙把掠夺来的商船直接作为海盗船使用，<hex:02100103>呼嘶……用这办法来伪装自己，方便发动奇袭。
51,TEXT_BANSAH307_01406_SEWW_000_003,呼嘶……你可以骑水龙蜥登上商船，<hex:02100103>干掉他们的杂兵，<hex:02100103>应该就能引出干部了。
52,TEXT_BANSAH307_01406_SEWW_000_004,呼嘶……请你登上海蛇之舌的商船，<hex:02100103>解决他们的干部。<hex:02100103>海兽驯养人帕阿会为你准备水龙蜥。
53,TEXT_BANSAH307_01406_TAMER01376_000_010,呼嘶……要去海上的商船吗？<hex:02100103>水龙蜥今天也状态良好。
54,TEXT_BANSAH307_01406_Q1_000_000,要骑上水龙蜥前往海上的商船吗？
55,TEXT_BANSAH307_01406_A1_000_001,是
56,TEXT_BANSAH307_01406_A1_000_002,否
57,TEXT_BANSAH307_01406_SEWW_000_020,呼嘶……你做得很好。<hex:02100103>失去了领头的，他们为了重整态势，<hex:02100103>就不得不把船开回港口了。
58,TEXT_BANSAH307_01406_SEWW_000_021,海蛇之舌这群家伙被无鳍类厌恶，<hex:02100103>在鱼人族眼里也只是奴才。<hex:02100103>呼嘶……真是一群无可救药的家伙。
59,TEXT_BANSAH307_01406_POPMESSAGE_000_000,<hex:02280FFF09>BNpcName<hex:F20AB50103>出现了！
60,TEXT_BANSAH307_01406_BALLOON_000_030,竟敢攻击我的部下……<hex:02100103>你受死吧！
