key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_HEAVNY802_02096_SEQ_00,丧灵钟的利迪尔隆娜有一个很有价值的情报要告诉冒险者这个手艺高超的能工巧匠。
1,TEXT_HEAVNY802_02096_SEQ_01,从利迪尔隆娜那里听取了有关专家制作的事情。利迪尔隆娜说可以从一个叫奥尔德兰的人那里了解详情，并为冒险者写了一封介绍信。前往伊修加德飞艇坪附近，将<hex:022811FF0A>EventItem<hex:F61E8B790103>交给奥尔德兰。
2,TEXT_HEAVNY802_02096_SEQ_02,从奥尔德兰那里听取了有关专家制作的说明。考虑好要成为哪个领域的专家后，让奥尔德兰制作专家之证。
3,TEXT_HEAVNY802_02096_SEQ_03,空
4,TEXT_HEAVNY802_02096_SEQ_04,空
5,TEXT_HEAVNY802_02096_SEQ_05,空
6,TEXT_HEAVNY802_02096_SEQ_06,空
7,TEXT_HEAVNY802_02096_SEQ_07,空
8,TEXT_HEAVNY802_02096_SEQ_08,空
9,TEXT_HEAVNY802_02096_SEQ_09,空
10,TEXT_HEAVNY802_02096_SEQ_10,空
11,TEXT_HEAVNY802_02096_SEQ_11,空
12,TEXT_HEAVNY802_02096_SEQ_12,空
13,TEXT_HEAVNY802_02096_SEQ_13,空
14,TEXT_HEAVNY802_02096_SEQ_14,空
15,TEXT_HEAVNY802_02096_SEQ_15,空
16,TEXT_HEAVNY802_02096_SEQ_16,空
17,TEXT_HEAVNY802_02096_SEQ_17,空
18,TEXT_HEAVNY802_02096_SEQ_18,空
19,TEXT_HEAVNY802_02096_SEQ_19,空
20,TEXT_HEAVNY802_02096_SEQ_20,空
21,TEXT_HEAVNY802_02096_SEQ_21,空
22,TEXT_HEAVNY802_02096_SEQ_22,空
23,TEXT_HEAVNY802_02096_SEQ_23,空
24,TEXT_HEAVNY802_02096_TODO_00,将<hex:022811FF0A>EventItem<hex:F61E8B790103>交给伊修加德的奥尔德兰
25,TEXT_HEAVNY802_02096_TODO_01,空
26,TEXT_HEAVNY802_02096_TODO_02,空
27,TEXT_HEAVNY802_02096_TODO_03,空
28,TEXT_HEAVNY802_02096_TODO_04,空
29,TEXT_HEAVNY802_02096_TODO_05,空
30,TEXT_HEAVNY802_02096_TODO_06,空
31,TEXT_HEAVNY802_02096_TODO_07,空
32,TEXT_HEAVNY802_02096_TODO_08,空
33,TEXT_HEAVNY802_02096_TODO_09,空
34,TEXT_HEAVNY802_02096_TODO_10,空
35,TEXT_HEAVNY802_02096_TODO_11,空
36,TEXT_HEAVNY802_02096_TODO_12,空
37,TEXT_HEAVNY802_02096_TODO_13,空
38,TEXT_HEAVNY802_02096_TODO_14,空
39,TEXT_HEAVNY802_02096_TODO_15,空
40,TEXT_HEAVNY802_02096_TODO_16,空
41,TEXT_HEAVNY802_02096_TODO_17,空
42,TEXT_HEAVNY802_02096_TODO_18,空
43,TEXT_HEAVNY802_02096_TODO_19,空
44,TEXT_HEAVNY802_02096_TODO_20,空
45,TEXT_HEAVNY802_02096_TODO_21,空
46,TEXT_HEAVNY802_02096_TODO_22,空
47,TEXT_HEAVNY802_02096_TODO_23,空
48,TEXT_HEAVNY802_02096_LYDIRLONA_000_000,我这次又带来了对于冒险者来说很有价值的情报。<hex:02100103>……您听说过“专家制作”吗？
49,TEXT_HEAVNY802_02096_LYDIRLONA_000_001,我这里有一个对于像您这样的优秀能工巧匠来说，<hex:02100103>很有价值的情报。<hex:02100103>……您听说过“专家制作”吗？
